taille_donnees,temps_brute,temps_tri_pointeurs,temps_hachage
10,7.63500008815754e-06,1.4286999999058025e-05,6.1310000774028595e-06
20,4.487999945013144e-06,1.9246999954702915e-05,8.667000088280474e-06
30,7.584000059068785e-06,1.7783999965104158e-05,5.761000011261785e-06
40,3.6270000691729365e-06,2.882499995848775e-05,7.395000011456432e-06
50,3.235999997741601e-06,2.491700001883146e-05,3.006000042660162e-06
75,5.108999971525918e-06,2.6731000048130227e-05,2.5350000214530155e-06
100,6.11099994785036e-06,3.611899990119127e-05,3.2860000374057563e-06
150,3.676999995150254e-06,0.00010205499995663558,7.664999998269195e-06
200,2.8660000452873646e-06,5.027600002449617e-05,3.0459999607046484e-06
300,3.146000040032959e-06,8.543300009478116e-05,2.4340000663869432e-06
400,3.2369999871662003e-06,0.00011111200001323596,3.146000040032959e-06
500,2.375000008214556e-06,0.00032271500003844267,5.47100000858336e-06
750,6.170999995447346e-06,0.00019730600001821585,2.464999965923198e-06
1000,4.808999960914662e-06,0.0002999219999537672,3.1559999342789524e-06
1500,2.1939999896858353e-06,0.0005480349999515965,0.000201163999918208
2000,2.3540000029242947e-06,0.0006136709999964296,7.244000016726204e-06
3000,2.7249999448031303e-06,0.000984989000016867,7.504999985030736e-06
4000,2.3439999949914636e-06,0.0013620889999401697,3.998000011051772e-06
5000,4.298000021663029e-06,0.002299056999959248,9.126999998443353e-06
7500,4.2579999899317045e-06,0.005565800000113086,5.399999963628943e-06
10000,7.1740000748832244e-06,0.0035477490000630496,5.229999942457653e-06
15000,2.805000008265779e-06,0.006470523999951183,5.399999963628943e-06
20000,5.80100004299311e-06,0.0379272119999996,9.43800000641204e-06
30000,3.987000013694342e-06,0.015110509999999522,7.303999950636353e-06
40000,3.0660000902571483e-06,0.019435251000004428,9.759000022313558e-06
50000,3.6359999739943305e-06,0.035115317000077084,8.105999995677848e-06
75000,1.870599999165279e-05,0.058686110000053304,9.066999950846366e-06
100000,4.5790000058332225e-06,0.06128467600001386,9.156999908555008e-06
150000,,0.0978292600000259,8.84699989001092e-06
200000,,0.13737069500007237,1.2523999998848012e-05
300000,,0.2413047090000191,8.095999987745017e-06
400000,,0.3090218059999188,9.557999987919175e-06
500000,,0.3384359789999962,7.20399998499488e-06
750000,,0.521756413999924,8.887000035429082e-06
1000000,,0.7304927650000081,7.654000000911765e-06
1500000,,1.3598111320000044,6.492000011348864e-06
2000000,,1.3886475660000315,7.703999926889082e-06
